"<%- count %> products","<%- count %> products"
"No products in the selected range.","No products in the selected range."
"Search Configuration","Search Configuration"
"Used in autocomplete","Used in autocomplete"
"Display in autocomplete","Display in autocomplete"
"Facet coverage rate","Facet coverage rate"
"Ex: Brand facet will be displayed only if 90% of the product have a brand.","Ex: Brand facet will be displayed only if 90% of the product have a brand."
"Facet max. size","Facet max. size"
"Max number of values returned by a facet query.","Max number of values returned by a facet query."
"Facet sort order","Facet sort order"
"Result count","Result count"
"Admin sort","Admin sort"
Name,Name
Relevance,Relevance
"Search Weight","Search Weight"
"Used in spellcheck","Used in spellcheck"
"Slider Display Configuration","Slider Display Configuration"
"Display pattern","Display pattern"
"A pattern like %s UNIT where %s is the value. Eg : $%s => $20 or %s € => 20 €","A pattern like %s UNIT where %s is the value. Eg : $%s => $20 or %s € => 20 €"
"Display Precision","Display Precision"
"The number of digits to use for precision when displaying.","The number of digits to use for precision when displaying."
"No search results for: <b>'%1'</b>. We propose you approaching results.","No exact results found for: <b>'%1'</b>. The displayed items are the closest matches."
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"%1 is the only product matching your '%2' research.","%1 is the only product matching your '%2' research."
item,item
items,items
OK,OK
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Product Preview and Sorting","Product Preview and Sorting"
"Your product selection is empty.","Your product selection is empty."
"Automatic Sort","Automatic Sort"
"Manual Sort","Manual Sort"
"Show more","Show more"
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
"Show less","Show less"
"Search (%s)","Search (%s)"
"Product Autocomplete","Product Autocomplete"
"Max Size","Max Size"
"Maximum number of products to display in autocomplete results.","Maximum number of products to display in autocomplete results."
"Product Attributes Autocomplete","Product Attributes Autocomplete"
"Maximum number of product attributes to display in autocomplete results.","Maximum number of product attributes to display in autocomplete results."
"Category Autocomplete","Category Autocomplete"
"Maximum number of categories to display in autocomplete results.","Maximum number of categories to display in autocomplete results."
"Catalog Search","Catalog Search"
"Catalog Search Configuration","Catalog Search Configuration"
"Redirect to product page if only one result","Redirect to product page if only one result"
"If there is only one product matching a given search query, the user will be redirect to this product page.","If there is only one product matching a given search query, the user will be redirect to this product page."
"Expanded facets","Expanded facets"
"Number of facets to display expanded by default.","Number of facets to display expanded by default."
Products,Products
Categories,Categories
Attributes,Attributes
"ElasticSuite Category Indexing","ElasticSuite Category Indexing"
"Reindex ElasticSuite catalog categories.","Reindex ElasticSuite catalog categories."
"Is Spellchecked","Is Spellchecked"
Yes,Yes
No,No
"Use Category Name in product search","Use Category Name in product search"
